totim,api,chd,drn,in-out,percent-discrepancy,sto-ss,sto-sy,total,wel
731.0,206.4729,0.0,-3.2026e-07,8.3034e-10,0.0,-0.00050580036,0.00049972534,0.0,-206.4729
741.0,206.3547,0.0,-3.1939e-07,8.0001e-10,0.0,-0.0004938999,0.00049972534,0.0,-206.3547
751.0,206.2395,0.0,-3.1854e-07,8.005e-10,0.0,-0.00048269983,0.00039863586,0.0,-206.2395
761.0,206.1271,0.0,-3.1773e-07,7.8805e-10,0.0,-0.00047199987,0.0005016327,0.0,-206.1271
771.0,206.0174,0.0,-3.1693e-07,7.9768e-10,0.0,-0.00046189968,0.0004005432,0.0,-206.0174
781.0,205.9103,0.0,-3.1614e-07,7.9385e-10,0.0,-0.0004521003,0.00049972534,0.0,-205.9103
791.0,205.8057,0.0,-3.154e-07,7.8606e-10,0.0,-0.00044289976,0.00049972534,0.0,-205.8057
801.0,205.7034,0.0,-3.1469e-07,7.6588e-10,0.0,-0.0004340997,0.00049972534,0.0,-205.7034
811.0,205.6034,0.0,-3.1394e-07,7.9598e-10,0.0,-0.00042579975,0.0004005432,0.0,-205.6034
821.0,205.5056,0.0,-3.133e-07,7.542e-10,0.0,-0.00041770004,0.00039863586,0.0,-205.5056
831.0,205.4099,0.0,-3.1246e-07,7.4988e-10,0.0,-0.00040999986,0.00049972534,0.0,-205.4099
841.0,205.3163,0.0,-3.1191e-07,7.5252e-10,0.0,-0.0004026005,0.0004005432,0.0,-205.3163
851.0,205.2246,0.0,-3.1135e-07,7.8072e-10,0.0,-0.00039559975,0.0004005432,0.0,-205.2246
861.0,205.1348,0.0,-3.1089e-07,7.4428e-10,0.0,-0.00038880017,0.0004005432,0.0,-205.1348
871.0,205.0468,0.0,-3.1039e-07,7.7139e-10,0.0,-0.00038219988,0.00039863586,0.0,-205.0468
881.0,204.9606,0.0,-3.0975e-07,7.5894e-10,0.0,-0.00037600007,0.00039863586,0.0,-204.9606
891.0,204.8761,0.0,-3.0962e-07,7.3774e-10,0.0,-0.00037000002,0.00039863586,0.0,-204.8761
